holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,month,day,year,hour,traffic_volume,commas
1,288.28,0.0,0.0,40,1,1,10,2,2012,9,5545,
1,289.36,0.0,0.0,75,1,2,10,2,2012,10,4516,
1,289.58,0.0,0.0,90,1,3,10,2,2012,11,4767,
1,290.13,0.0,0.0,90,1,3,10,2,2012,12,5026,
1,291.14,0.0,0.0,75,1,2,10,2,2012,13,4918,
1,291.72,0.0,0.0,1,2,4,10,2,2012,14,5181,
1,293.17,0.0,0.0,1,2,4,10,2,2012,15,5584,
1,293.86,0.0,0.0,1,2,4,10,2,2012,16,6015,
1,294.14,0.0,0.0,20,1,5,10,2,2012,17,5791,
1,293.1,0.0,0.0,20,1,5,10,2,2012,18,4770,
1,290.97,0.0,0.0,20,1,5,10,2,2012,19,3539,
1,289.38,0.0,0.0,1,2,4,10,2,2012,20,2784,
1,288.61,0.0,0.0,1,2,4,10,2,2012,21,2361,
1,287.16,0.0,0.0,1,2,4,10,2,2012,22,1529,
1,285.45,0.0,0.0,1,2,4,10,2,2012,23,963,
1,284.63,0.0,0.0,1,2,4,10,3,2012,0,506,
1,283.47,0.0,0.0,1,2,4,10,3,2012,1,321,
1,281.18,0.0,0.0,1,2,4,10,3,2012,2,273,
1,281.09,0.0,0.0,1,2,4,10,3,2012,3,367,
1,279.53,0.0,0.0,1,2,4,10,3,2012,4,814,
1,278.62,0.0,0.0,1,2,4,10,3,2012,5,2718,
1,278.23,0.0,0.0,1,2,4,10,3,2012,6,5673,
1,278.12,0.0,0.0,1,2,4,10,3,2012,8,6511,
1,282.48,0.0,0.0,1,2,4,10,3,2012,9,5471,
1,291.97,0.0,0.0,1,2,4,10,3,2012,12,5097,
1,293.23,0.0,0.0,1,2,4,10,3,2012,13,4887,
1,294.31,0.0,0.0,1,2,4,10,3,2012,14,5337,
1,295.17,0.0,0.0,1,2,4,10,3,2012,15,5692,
1,295.13,0.0,0.0,1,2,4,10,3,2012,16,6137,
1,293.66,0.0,0.0,20,1,5,10,3,2012,18,4623,
1,290.65,0.0,0.0,20,1,5,10,3,2012,19,3591,
1,288.19,0.0,0.0,20,1,5,10,3,2012,20,2898,
1,287.1,0.0,0.0,1,2,4,10,3,2012,21,2637,
1,286.25,0.0,0.0,1,2,4,10,3,2012,22,1777,
1,285.26,0.0,0.0,1,2,4,10,3,2012,23,1015,
1,284.55,0.0,0.0,1,2,4,10,4,2012,0,598,
1,283.47,0.0,0.0,1,2,4,10,4,2012,1,369,
1,283.17,0.0,0.0,1,2,4,10,4,2012,2,312,
1,282.04,0.0,0.0,1,2,4,10,4,2012,3,367,
1,281.69,0.0,0.0,1,2,4,10,4,2012,4,835,
1,281.32,0.0,0.0,1,2,4,10,4,2012,5,2726,
1,280.74,0.0,0.0,1,2,4,10,4,2012,6,5689,
1,280.57,0.0,0.0,1,2,4,10,4,2012,7,6990,
1,281.86,0.0,0.0,1,2,4,10,4,2012,8,5985,
1,284.98,0.0,0.0,1,2,4,10,4,2012,9,5309,
1,289.18,0.0,0.0,1,2,4,10,4,2012,10,4603,
1,291.55,0.0,0.0,1,2,4,10,4,2012,11,4884,
1,294.97,0.0,0.0,1,2,4,10,4,2012,12,5104,
1,296.38,0.0,0.0,1,2,4,10,4,2012,13,5178,
1,297.32,0.0,0.0,1,2,4,10,4,2012,14,5501,
1,298.17,0.0,0.0,1,2,4,10,4,2012,15,5713,
1,298.06,0.0,0.0,20,1,5,10,4,2012,16,6292,
1,297.67,0.0,0.0,20,1,5,10,4,2012,17,6057,
1,296.36,0.0,0.0,40,1,1,10,4,2012,18,4907,
1,293.85,0.0,0.0,40,1,1,10,4,2012,19,3503,
1,292.43,0.0,0.0,40,1,1,10,4,2012,20,3037,
1,291.77,0.0,0.0,75,1,2,10,4,2012,21,2822,
1,291.36,0.0,0.0,75,1,2,10,4,2012,22,1992,
1,291.12,0.0,0.0,75,1,2,10,4,2012,23,1166,
1,290.63,0.0,0.0,75,1,2,10,5,2012,0,627,
1,290.46,0.0,0.0,40,1,1,10,5,2012,1,388,
1,289.26,0.0,0.0,0,2,4,10,5,2012,3,368,
1,283.21,0.0,0.0,75,1,2,10,5,2012,5,2489,
1,282.24,0.0,0.0,90,1,3,10,5,2012,6,5537,
1,281.69,0.0,0.0,90,1,3,10,5,2012,7,6628,
1,280.57,0.0,0.0,90,1,3,10,5,2012,8,5534,
1,280.02,0.0,0.0,75,1,2,10,5,2012,9,5403,
1,280.11,0.0,0.0,75,1,2,10,5,2012,10,4770,
1,280.0,0.0,0.0,90,1,3,10,5,2012,11,5217,
1,280.53,0.0,0.0,90,1,3,10,5,2012,12,5870,
1,281.43,0.0,0.0,75,1,2,10,5,2012,13,5967,
1,281.78,0.0,0.0,90,1,3,10,5,2012,14,6108,
1,281.91,0.0,0.0,90,1,3,10,5,2012,15,6128,
1,281.73,0.0,0.0,90,1,3,10,5,2012,16,6069,
1,281.42,0.0,0.0,90,1,3,10,5,2012,17,6169,
1,280.87,0.0,0.0,90,1,3,10,5,2012,18,5384,
1,280.15,0.0,0.0,90,1,3,10,5,2012,19,4063,
1,279.78,0.0,0.0,90,1,3,10,5,2012,20,3364,
1,279.65,0.0,0.0,75,1,2,10,5,2012,21,2971,
1,279.22,0.0,0.0,40,1,1,10,5,2012,22,2450,
1,279.06,0.0,0.0,40,1,1,10,5,2012,23,1832,
1,278.81,0.0,0.0,90,1,3,10,6,2012,0,1231,
1,278.55,0.0,0.0,90,1,3,10,6,2012,1,718,
1,278.59,0.0,0.0,90,1,3,10,6,2012,2,545,
1,276.99,0.0,0.0,75,1,2,10,6,2012,4,411,
1,276.35,0.0,0.0,20,1,5,10,6,2012,5,688,
1,275.4,0.0,0.0,1,2,4,10,6,2012,6,1352,
1,275.17,0.0,0.0,1,2,4,10,6,2012,7,2072,
1,274.99,0.0,0.0,1,2,4,10,6,2012,8,3342,
1,275.09,0.0,0.0,40,1,1,10,6,2012,9,4258,
1,276.88,0.0,0.0,20,1,5,10,6,2012,10,4861,
1,278.04,0.0,0.0,20,1,5,10,6,2012,11,5191,
1,279.08,0.0,0.0,40,1,1,10,6,2012,12,5669,
1,280.12,0.0,0.0,75,1,2,10,6,2012,13,5074,
1,280.25,0.0,0.0,75,1,2,10,6,2012,14,5025,
1,280.0,0.0,0.0,75,1,2,10,6,2012,15,5153,
1,279.06,0.0,0.0,90,1,3,10,6,2012,16,5024,
1,278.91,0.0,0.0,90,1,3,10,6,2012,17,4779,
1,278.39,0.0,0.0,90,1,3,10,6,2012,18,4362,
1,278.16,0.0,0.0,90,1,3,10,6,2012,19,3860,
1,278.16,0.0,0.0,90,1,3,10,6,2012,20,3160,
1,277.93,0.0,0.0,90,1,3,10,6,2012,21,2992,
1,276.9,0.0,0.0,90,1,3,10,6,2012,22,3202,
1,276.34,0.0,0.0,75,1,2,10,6,2012,23,1941,
1,276.11,0.0,0.0,75,1,2,10,7,2012,0,1233,
1,275.73,0.0,0.0,90,1,3,10,7,2012,3,323,
1,275.65,0.0,0.0,90,1,3,10,7,2012,4,312,
1,275.51,0.0,0.0,75,1,2,10,7,2012,5,627,
1,275.05,0.0,0.0,90,1,3,10,7,2012,6,1508,
1,274.77,0.0,0.0,90,1,3,10,7,2012,7,1539,
1,274.77,0.0,0.0,75,1,2,10,7,2012,8,2232,
1,275.55,0.0,0.0,75,1,2,10,7,2012,9,4568,
1,276.24,0.0,0.0,75,1,2,10,7,2012,10,4624,
1,277.01,0.0,0.0,90,1,3,10,7,2012,11,4529,
1,277.43,0.0,0.0,90,1,3,10,7,2012,12,5139,
1,278.45,0.0,0.0,90,1,3,10,7,2012,13,6640,
1,279.27,0.0,0.0,90,1,3,10,7,2012,14,6589,
1,279.27,0.0,0.0,90,1,3,10,7,2012,15,4429,
1,279.44,0.0,0.0,90,1,3,10,7,2012,16,4329,
1,279.32,0.0,0.0,90,1,3,10,7,2012,17,3833,
1,279.27,0.0,0.0,90,1,3,10,7,2012,18,4015,
1,278.11,0.0,0.0,90,1,3,10,7,2012,19,3382,
