,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,month,day,year,hour
0,None,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,10,2,2012,9
1,None,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,10,2,2012,10
2,None,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,10,2,2012,11
3,None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,10,2,2012,12
4,None,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,10,2,2012,13
5,None,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,10,2,2012,14
6,None,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,10,2,2012,15
7,None,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,10,2,2012,16
8,None,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,10,2,2012,17
9,None,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,10,2,2012,18
10,None,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,10,2,2012,19
11,None,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784,10,2,2012,20
12,None,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361,10,2,2012,21
13,None,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529,10,2,2012,22
14,None,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963,10,2,2012,23
15,None,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506,10,3,2012,0
16,None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321,10,3,2012,1
17,None,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273,10,3,2012,2
18,None,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367,10,3,2012,3
19,None,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814,10,3,2012,4
20,None,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718,10,3,2012,5
21,None,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673,10,3,2012,6
22,None,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511,10,3,2012,8
23,None,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471,10,3,2012,9
24,None,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097,10,3,2012,12
25,None,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887,10,3,2012,13
26,None,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337,10,3,2012,14
27,None,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692,10,3,2012,15
28,None,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137,10,3,2012,16
29,None,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623,10,3,2012,18
30,None,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591,10,3,2012,19
31,None,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898,10,3,2012,20
32,None,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637,10,3,2012,21
33,None,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777,10,3,2012,22
34,None,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015,10,3,2012,23
35,None,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598,10,4,2012,0
36,None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369,10,4,2012,1
37,None,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312,10,4,2012,2
38,None,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367,10,4,2012,3
39,None,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835,10,4,2012,4
40,None,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726,10,4,2012,5
41,None,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689,10,4,2012,6
42,None,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990,10,4,2012,7
43,None,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985,10,4,2012,8
44,None,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309,10,4,2012,9
45,None,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603,10,4,2012,10
46,None,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884,10,4,2012,11
47,None,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104,10,4,2012,12
48,None,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178,10,4,2012,13
49,None,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501,10,4,2012,14
50,None,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713,10,4,2012,15
51,None,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292,10,4,2012,16
52,None,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057,10,4,2012,17
53,None,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907,10,4,2012,18
54,None,293.85,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,3503,10,4,2012,19
55,None,292.43,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,3037,10,4,2012,20
56,None,291.77,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,2822,10,4,2012,21
57,None,291.36,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,1992,10,4,2012,22
58,None,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166,10,4,2012,23
59,None,290.63,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,627,10,5,2012,0
60,None,290.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,388,10,5,2012,1
61,None,289.26,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,368,10,5,2012,3
62,None,283.21,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,2489,10,5,2012,5
63,None,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537,10,5,2012,6
64,None,281.69,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,6628,10,5,2012,7
65,None,280.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,5534,10,5,2012,8
66,None,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403,10,5,2012,9
67,None,280.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,4770,10,5,2012,10
68,None,280.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,5217,10,5,2012,11
69,None,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870,10,5,2012,12
70,None,281.43,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,5967,10,5,2012,13
71,None,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,6108,10,5,2012,14
72,None,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128,10,5,2012,15
73,None,281.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,6069,10,5,2012,16
