,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,month,day,year,hour
0,1,288.28,0.0,0.0,40,1,1,5545,10,2,2012,9
1,1,289.36,0.0,0.0,75,1,2,4516,10,2,2012,10
2,1,289.58,0.0,0.0,90,1,3,4767,10,2,2012,11
3,1,290.13,0.0,0.0,90,1,3,5026,10,2,2012,12
4,1,291.14,0.0,0.0,75,1,2,4918,10,2,2012,13
5,1,291.72,0.0,0.0,1,2,4,5181,10,2,2012,14
6,1,293.17,0.0,0.0,1,2,4,5584,10,2,2012,15
7,1,293.86,0.0,0.0,1,2,4,6015,10,2,2012,16
8,1,294.14,0.0,0.0,20,1,5,5791,10,2,2012,17
9,1,293.1,0.0,0.0,20,1,5,4770,10,2,2012,18
10,1,290.97,0.0,0.0,20,1,5,3539,10,2,2012,19
11,1,289.38,0.0,0.0,1,2,4,2784,10,2,2012,20
12,1,288.61,0.0,0.0,1,2,4,2361,10,2,2012,21
13,1,287.16,0.0,0.0,1,2,4,1529,10,2,2012,22
14,1,285.45,0.0,0.0,1,2,4,963,10,2,2012,23
15,1,284.63,0.0,0.0,1,2,4,506,10,3,2012,0
16,1,283.47,0.0,0.0,1,2,4,321,10,3,2012,1
17,1,281.18,0.0,0.0,1,2,4,273,10,3,2012,2
18,1,281.09,0.0,0.0,1,2,4,367,10,3,2012,3
19,1,279.53,0.0,0.0,1,2,4,814,10,3,2012,4
20,1,278.62,0.0,0.0,1,2,4,2718,10,3,2012,5
21,1,278.23,0.0,0.0,1,2,4,5673,10,3,2012,6
22,1,278.12,0.0,0.0,1,2,4,6511,10,3,2012,8
23,1,282.48,0.0,0.0,1,2,4,5471,10,3,2012,9
24,1,291.97,0.0,0.0,1,2,4,5097,10,3,2012,12
25,1,293.23,0.0,0.0,1,2,4,4887,10,3,2012,13
26,1,294.31,0.0,0.0,1,2,4,5337,10,3,2012,14
27,1,295.17,0.0,0.0,1,2,4,5692,10,3,2012,15
28,1,295.13,0.0,0.0,1,2,4,6137,10,3,2012,16
29,1,293.66,0.0,0.0,20,1,5,4623,10,3,2012,18
30,1,290.65,0.0,0.0,20,1,5,3591,10,3,2012,19
31,1,288.19,0.0,0.0,20,1,5,2898,10,3,2012,20
